"Actual","Predicted","nPredictions"
"forest formation","forest formation","126"
"forest formation","savanna formation","5"
"forest formation","mangrove","6"
"forest formation","forest plantation","3"
"forest formation","wetland","1"
"forest formation","grassland","0"
"forest formation","other non forest formations","0"
"forest formation","pasture","1"
"forest formation","sugar cane","0"
"forest formation","mosaic agriculture and pasture","1"
"forest formation","beach dune and sand","1"
"forest formation","urban area","0"
"forest formation","other vegetated areas","0"
"forest formation","rocky outcrop","0"
"forest formation","mining","0"
"forest formation","aquaculture","0"
"forest formation","river lake and ocean","0"
"forest formation","soy bean","0"
"forest formation","rice","0"
"forest formation","other temporary crops","1"
"forest formation","coffee","0"
"forest formation","citrus","0"
"forest formation","other perennial crops","0"
"forest formation","wooded sandbank vegetation","5"
"savanna formation","forest formation","5"
"savanna formation","savanna formation","125"
"savanna formation","mangrove","0"
"savanna formation","forest plantation","1"
"savanna formation","wetland","1"
"savanna formation","grassland","4"
"savanna formation","other non forest formations","0"
"savanna formation","pasture","5"
"savanna formation","sugar cane","0"
"savanna formation","mosaic agriculture and pasture","4"
"savanna formation","beach dune and sand","0"
"savanna formation","urban area","0"
"savanna formation","other vegetated areas","0"
"savanna formation","rocky outcrop","2"
"savanna formation","mining","0"
"savanna formation","aquaculture","0"
"savanna formation","river lake and ocean","0"
"savanna formation","soy bean","0"
"savanna formation","rice","0"
"savanna formation","other temporary crops","2"
"savanna formation","coffee","0"
"savanna formation","citrus","0"
"savanna formation","other perennial crops","1"
"savanna formation","wooded sandbank vegetation","0"
"mangrove","forest formation","3"
"mangrove","savanna formation","0"
"mangrove","mangrove","140"
"mangrove","forest plantation","0"
"mangrove","wetland","1"
"mangrove","grassland","2"
"mangrove","other non forest formations","0"
"mangrove","pasture","1"
"mangrove","sugar cane","0"
"mangrove","mosaic agriculture and pasture","0"
"mangrove","beach dune and sand","1"
"mangrove","urban area","0"
"mangrove","other vegetated areas","1"
"mangrove","rocky outcrop","0"
"mangrove","mining","1"
"mangrove","aquaculture","0"
"mangrove","river lake and ocean","0"
"mangrove","soy bean","0"
"mangrove","rice","0"
"mangrove","other temporary crops","0"
"mangrove","coffee","0"
"mangrove","citrus","0"
"mangrove","other perennial crops","0"
"mangrove","wooded sandbank vegetation","0"
"forest plantation","forest formation","0"
"forest plantation","savanna formation","0"
"forest plantation","mangrove","0"
"forest plantation","forest plantation","145"
"forest plantation","wetland","0"
"forest plantation","grassland","2"
"forest plantation","other non forest formations","0"
"forest plantation","pasture","0"
"forest plantation","sugar cane","0"
"forest plantation","mosaic agriculture and pasture","1"
"forest plantation","beach dune and sand","0"
"forest plantation","urban area","0"
"forest plantation","other vegetated areas","0"
"forest plantation","rocky outcrop","1"
"forest plantation","mining","0"
"forest plantation","aquaculture","0"
"forest plantation","river lake and ocean","0"
"forest plantation","soy bean","0"
"forest plantation","rice","0"
"forest plantation","other temporary crops","1"
"forest plantation","coffee","0"
"forest plantation","citrus","0"
"forest plantation","other perennial crops","0"
"forest plantation","wooded sandbank vegetation","0"
"wetland","forest formation","0"
"wetland","savanna formation","3"
"wetland","mangrove","0"
"wetland","forest plantation","0"
"wetland","wetland","132"
"wetland","grassland","4"
"wetland","other non forest formations","0"
"wetland","pasture","1"
"wetland","sugar cane","0"
"wetland","mosaic agriculture and pasture","4"
"wetland","beach dune and sand","0"
"wetland","urban area","0"
"wetland","other vegetated areas","0"
"wetland","rocky outcrop","0"
"wetland","mining","4"
"wetland","aquaculture","0"
"wetland","river lake and ocean","2"
"wetland","soy bean","0"
"wetland","rice","0"
"wetland","other temporary crops","0"
"wetland","coffee","0"
"wetland","citrus","0"
"wetland","other perennial crops","0"
"wetland","wooded sandbank vegetation","0"
"grassland","forest formation","0"
"grassland","savanna formation","12"
"grassland","mangrove","0"
"grassland","forest plantation","0"
"grassland","wetland","14"
"grassland","grassland","108"
"grassland","other non forest formations","0"
"grassland","pasture","2"
"grassland","sugar cane","0"
"grassland","mosaic agriculture and pasture","4"
"grassland","beach dune and sand","0"
"grassland","urban area","0"
"grassland","other vegetated areas","1"
"grassland","rocky outcrop","2"
"grassland","mining","1"
"grassland","aquaculture","0"
"grassland","river lake and ocean","4"
"grassland","soy bean","1"
"grassland","rice","0"
"grassland","other temporary crops","1"
"grassland","coffee","0"
"grassland","citrus","0"
"grassland","other perennial crops","0"
"grassland","wooded sandbank vegetation","0"
"other non forest formations","forest formation","0"
"other non forest formations","savanna formation","0"
"other non forest formations","mangrove","0"
"other non forest formations","forest plantation","0"
"other non forest formations","wetland","0"
"other non forest formations","grassland","0"
"other non forest formations","other non forest formations","81"
"other non forest formations","pasture","0"
"other non forest formations","sugar cane","0"
"other non forest formations","mosaic agriculture and pasture","2"
"other non forest formations","beach dune and sand","0"
"other non forest formations","urban area","0"
"other non forest formations","other vegetated areas","0"
"other non forest formations","rocky outcrop","1"
"other non forest formations","mining","0"
"other non forest formations","aquaculture","0"
"other non forest formations","river lake and ocean","0"
"other non forest formations","soy bean","0"
"other non forest formations","rice","0"
"other non forest formations","other temporary crops","0"
"other non forest formations","coffee","0"
"other non forest formations","citrus","0"
"other non forest formations","other perennial crops","1"
"other non forest formations","wooded sandbank vegetation","2"
"pasture","forest formation","3"
"pasture","savanna formation","8"
"pasture","mangrove","0"
"pasture","forest plantation","0"
"pasture","wetland","2"
"pasture","grassland","1"
"pasture","other non forest formations","0"
"pasture","pasture","118"
"pasture","sugar cane","0"
"pasture","mosaic agriculture and pasture","10"
"pasture","beach dune and sand","0"
"pasture","urban area","0"
"pasture","other vegetated areas","1"
"pasture","rocky outcrop","0"
"pasture","mining","1"
"pasture","aquaculture","0"
"pasture","river lake and ocean","0"
"pasture","soy bean","1"
"pasture","rice","0"
"pasture","other temporary crops","4"
"pasture","coffee","0"
"pasture","citrus","0"
"pasture","other perennial crops","1"
"pasture","wooded sandbank vegetation","0"
"sugar cane","forest formation","0"
"sugar cane","savanna formation","0"
"sugar cane","mangrove","0"
"sugar cane","forest plantation","0"
"sugar cane","wetland","0"
"sugar cane","grassland","0"
"sugar cane","other non forest formations","0"
"sugar cane","pasture","0"
"sugar cane","sugar cane","142"
"sugar cane","mosaic agriculture and pasture","3"
"sugar cane","beach dune and sand","0"
"sugar cane","urban area","0"
"sugar cane","other vegetated areas","0"
"sugar cane","rocky outcrop","0"
"sugar cane","mining","0"
"sugar cane","aquaculture","0"
"sugar cane","river lake and ocean","0"
"sugar cane","soy bean","1"
"sugar cane","rice","1"
"sugar cane","other temporary crops","1"
"sugar cane","coffee","0"
"sugar cane","citrus","2"
"sugar cane","other perennial crops","0"
"sugar cane","wooded sandbank vegetation","0"
"mosaic agriculture and pasture","forest formation","0"
"mosaic agriculture and pasture","savanna formation","5"
"mosaic agriculture and pasture","mangrove","0"
"mosaic agriculture and pasture","forest plantation","3"
"mosaic agriculture and pasture","wetland","1"
"mosaic agriculture and pasture","grassland","5"
"mosaic agriculture and pasture","other non forest formations","0"
"mosaic agriculture and pasture","pasture","18"
"mosaic agriculture and pasture","sugar cane","10"
"mosaic agriculture and pasture","mosaic agriculture and pasture","75"
"mosaic agriculture and pasture","beach dune and sand","0"
"mosaic agriculture and pasture","urban area","1"
"mosaic agriculture and pasture","other vegetated areas","2"
"mosaic agriculture and pasture","rocky outcrop","0"
"mosaic agriculture and pasture","mining","0"
"mosaic agriculture and pasture","aquaculture","0"
"mosaic agriculture and pasture","river lake and ocean","0"
"mosaic agriculture and pasture","soy bean","6"
"mosaic agriculture and pasture","rice","2"
"mosaic agriculture and pasture","other temporary crops","12"
"mosaic agriculture and pasture","coffee","2"
"mosaic agriculture and pasture","citrus","2"
"mosaic agriculture and pasture","other perennial crops","5"
"mosaic agriculture and pasture","wooded sandbank vegetation","1"
"beach dune and sand","forest formation","0"
"beach dune and sand","savanna formation","0"
"beach dune and sand","mangrove","0"
"beach dune and sand","forest plantation","0"
"beach dune and sand","wetland","0"
"beach dune and sand","grassland","0"
"beach dune and sand","other non forest formations","2"
"beach dune and sand","pasture","0"
"beach dune and sand","sugar cane","0"
"beach dune and sand","mosaic agriculture and pasture","0"
"beach dune and sand","beach dune and sand","146"
"beach dune and sand","urban area","0"
"beach dune and sand","other vegetated areas","1"
"beach dune and sand","rocky outcrop","0"
"beach dune and sand","mining","0"
"beach dune and sand","aquaculture","0"
"beach dune and sand","river lake and ocean","0"
"beach dune and sand","soy bean","0"
"beach dune and sand","rice","0"
"beach dune and sand","other temporary crops","1"
"beach dune and sand","coffee","0"
"beach dune and sand","citrus","0"
"beach dune and sand","other perennial crops","0"
"beach dune and sand","wooded sandbank vegetation","0"
"urban area","forest formation","0"
"urban area","savanna formation","0"
"urban area","mangrove","0"
"urban area","forest plantation","0"
"urban area","wetland","0"
"urban area","grassland","0"
"urban area","other non forest formations","0"
"urban area","pasture","0"
"urban area","sugar cane","0"
"urban area","mosaic agriculture and pasture","0"
"urban area","beach dune and sand","0"
"urban area","urban area","149"
"urban area","other vegetated areas","0"
"urban area","rocky outcrop","0"
"urban area","mining","0"
"urban area","aquaculture","0"
"urban area","river lake and ocean","0"
"urban area","soy bean","0"
"urban area","rice","0"
"urban area","other temporary crops","1"
"urban area","coffee","0"
"urban area","citrus","0"
"urban area","other perennial crops","0"
"urban area","wooded sandbank vegetation","0"
"other vegetated areas","forest formation","0"
"other vegetated areas","savanna formation","0"
"other vegetated areas","mangrove","0"
"other vegetated areas","forest plantation","1"
"other vegetated areas","wetland","0"
"other vegetated areas","grassland","6"
"other vegetated areas","other non forest formations","1"
"other vegetated areas","pasture","1"
"other vegetated areas","sugar cane","0"
"other vegetated areas","mosaic agriculture and pasture","4"
"other vegetated areas","beach dune and sand","1"
"other vegetated areas","urban area","0"
"other vegetated areas","other vegetated areas","66"
"other vegetated areas","rocky outcrop","1"
"other vegetated areas","mining","0"
"other vegetated areas","aquaculture","0"
"other vegetated areas","river lake and ocean","0"
"other vegetated areas","soy bean","1"
"other vegetated areas","rice","0"
"other vegetated areas","other temporary crops","1"
"other vegetated areas","coffee","0"
"other vegetated areas","citrus","0"
"other vegetated areas","other perennial crops","0"
"other vegetated areas","wooded sandbank vegetation","0"
"rocky outcrop","forest formation","0"
"rocky outcrop","savanna formation","5"
"rocky outcrop","mangrove","0"
"rocky outcrop","forest plantation","0"
"rocky outcrop","wetland","1"
"rocky outcrop","grassland","8"
"rocky outcrop","other non forest formations","0"
"rocky outcrop","pasture","1"
"rocky outcrop","sugar cane","0"
"rocky outcrop","mosaic agriculture and pasture","1"
"rocky outcrop","beach dune and sand","0"
"rocky outcrop","urban area","0"
"rocky outcrop","other vegetated areas","0"
"rocky outcrop","rocky outcrop","57"
"rocky outcrop","mining","0"
"rocky outcrop","aquaculture","0"
"rocky outcrop","river lake and ocean","0"
"rocky outcrop","soy bean","0"
"rocky outcrop","rice","0"
"rocky outcrop","other temporary crops","0"
"rocky outcrop","coffee","0"
"rocky outcrop","citrus","0"
"rocky outcrop","other perennial crops","0"
"rocky outcrop","wooded sandbank vegetation","0"
"mining","forest formation","0"
"mining","savanna formation","0"
"mining","mangrove","0"
"mining","forest plantation","0"
"mining","wetland","0"
"mining","grassland","0"
"mining","other non forest formations","0"
"mining","pasture","0"
"mining","sugar cane","0"
"mining","mosaic agriculture and pasture","0"
"mining","beach dune and sand","0"
"mining","urban area","0"
"mining","other vegetated areas","0"
"mining","rocky outcrop","0"
"mining","mining","86"
"mining","aquaculture","0"
"mining","river lake and ocean","2"
"mining","soy bean","0"
"mining","rice","0"
"mining","other temporary crops","0"
"mining","coffee","0"
"mining","citrus","0"
"mining","other perennial crops","0"
"mining","wooded sandbank vegetation","0"
"aquaculture","forest formation","0"
"aquaculture","savanna formation","0"
"aquaculture","mangrove","0"
"aquaculture","forest plantation","0"
"aquaculture","wetland","0"
"aquaculture","grassland","0"
"aquaculture","other non forest formations","0"
"aquaculture","pasture","0"
"aquaculture","sugar cane","0"
"aquaculture","mosaic agriculture and pasture","0"
"aquaculture","beach dune and sand","0"
"aquaculture","urban area","0"
"aquaculture","other vegetated areas","0"
"aquaculture","rocky outcrop","0"
"aquaculture","mining","0"
"aquaculture","aquaculture","23"
"aquaculture","river lake and ocean","0"
"aquaculture","soy bean","0"
"aquaculture","rice","0"
"aquaculture","other temporary crops","0"
"aquaculture","coffee","0"
"aquaculture","citrus","0"
"aquaculture","other perennial crops","0"
"aquaculture","wooded sandbank vegetation","0"
"river lake and ocean","forest formation","0"
"river lake and ocean","savanna formation","0"
"river lake and ocean","mangrove","1"
"river lake and ocean","forest plantation","0"
"river lake and ocean","wetland","0"
"river lake and ocean","grassland","1"
"river lake and ocean","other non forest formations","0"
"river lake and ocean","pasture","0"
"river lake and ocean","sugar cane","0"
"river lake and ocean","mosaic agriculture and pasture","0"
"river lake and ocean","beach dune and sand","0"
"river lake and ocean","urban area","0"
"river lake and ocean","other vegetated areas","0"
"river lake and ocean","rocky outcrop","0"
"river lake and ocean","mining","0"
"river lake and ocean","aquaculture","0"
"river lake and ocean","river lake and ocean","148"
"river lake and ocean","soy bean","0"
"river lake and ocean","rice","0"
"river lake and ocean","other temporary crops","0"
"river lake and ocean","coffee","0"
"river lake and ocean","citrus","0"
"river lake and ocean","other perennial crops","0"
"river lake and ocean","wooded sandbank vegetation","0"
"soy bean","forest formation","0"
"soy bean","savanna formation","0"
"soy bean","mangrove","0"
"soy bean","forest plantation","0"
"soy bean","wetland","0"
"soy bean","grassland","1"
"soy bean","other non forest formations","0"
"soy bean","pasture","1"
"soy bean","sugar cane","3"
"soy bean","mosaic agriculture and pasture","3"
"soy bean","beach dune and sand","0"
"soy bean","urban area","0"
"soy bean","other vegetated areas","1"
"soy bean","rocky outcrop","0"
"soy bean","mining","1"
"soy bean","aquaculture","0"
"soy bean","river lake and ocean","0"
"soy bean","soy bean","129"
"soy bean","rice","0"
"soy bean","other temporary crops","11"
"soy bean","coffee","0"
"soy bean","citrus","0"
"soy bean","other perennial crops","0"
"soy bean","wooded sandbank vegetation","0"
"rice","forest formation","0"
"rice","savanna formation","0"
"rice","mangrove","0"
"rice","forest plantation","0"
"rice","wetland","0"
"rice","grassland","0"
"rice","other non forest formations","0"
"rice","pasture","0"
"rice","sugar cane","0"
"rice","mosaic agriculture and pasture","1"
"rice","beach dune and sand","0"
"rice","urban area","0"
"rice","other vegetated areas","0"
"rice","rocky outcrop","0"
"rice","mining","0"
"rice","aquaculture","0"
"rice","river lake and ocean","0"
"rice","soy bean","1"
"rice","rice","140"
"rice","other temporary crops","8"
"rice","coffee","0"
"rice","citrus","0"
"rice","other perennial crops","0"
"rice","wooded sandbank vegetation","0"
"other temporary crops","forest formation","0"
"other temporary crops","savanna formation","1"
"other temporary crops","mangrove","0"
"other temporary crops","forest plantation","2"
"other temporary crops","wetland","0"
"other temporary crops","grassland","2"
"other temporary crops","other non forest formations","0"
"other temporary crops","pasture","6"
"other temporary crops","sugar cane","3"
"other temporary crops","mosaic agriculture and pasture","9"
"other temporary crops","beach dune and sand","0"
"other temporary crops","urban area","0"
"other temporary crops","other vegetated areas","0"
"other temporary crops","rocky outcrop","0"
"other temporary crops","mining","0"
"other temporary crops","aquaculture","0"
"other temporary crops","river lake and ocean","0"
"other temporary crops","soy bean","35"
"other temporary crops","rice","11"
"other temporary crops","other temporary crops","78"
"other temporary crops","coffee","0"
"other temporary crops","citrus","1"
"other temporary crops","other perennial crops","2"
"other temporary crops","wooded sandbank vegetation","0"
"coffee","forest formation","0"
"coffee","savanna formation","0"
"coffee","mangrove","0"
"coffee","forest plantation","0"
"coffee","wetland","0"
"coffee","grassland","0"
"coffee","other non forest formations","0"
"coffee","pasture","0"
"coffee","sugar cane","0"
"coffee","mosaic agriculture and pasture","0"
"coffee","beach dune and sand","0"
"coffee","urban area","0"
"coffee","other vegetated areas","0"
"coffee","rocky outcrop","0"
"coffee","mining","0"
"coffee","aquaculture","0"
"coffee","river lake and ocean","0"
"coffee","soy bean","1"
"coffee","rice","0"
"coffee","other temporary crops","0"
"coffee","coffee","92"
"coffee","citrus","1"
"coffee","other perennial crops","0"
"coffee","wooded sandbank vegetation","0"
"citrus","forest formation","0"
"citrus","savanna formation","0"
"citrus","mangrove","0"
"citrus","forest plantation","1"
"citrus","wetland","0"
"citrus","grassland","0"
"citrus","other non forest formations","0"
"citrus","pasture","0"
"citrus","sugar cane","3"
"citrus","mosaic agriculture and pasture","0"
"citrus","beach dune and sand","0"
"citrus","urban area","0"
"citrus","other vegetated areas","0"
"citrus","rocky outcrop","0"
"citrus","mining","0"
"citrus","aquaculture","0"
"citrus","river lake and ocean","0"
"citrus","soy bean","0"
"citrus","rice","0"
"citrus","other temporary crops","0"
"citrus","coffee","1"
"citrus","citrus","145"
"citrus","other perennial crops","0"
"citrus","wooded sandbank vegetation","0"
"other perennial crops","forest formation","0"
"other perennial crops","savanna formation","0"
"other perennial crops","mangrove","1"
"other perennial crops","forest plantation","2"
"other perennial crops","wetland","0"
"other perennial crops","grassland","0"
"other perennial crops","other non forest formations","0"
"other perennial crops","pasture","1"
"other perennial crops","sugar cane","0"
"other perennial crops","mosaic agriculture and pasture","1"
"other perennial crops","beach dune and sand","0"
"other perennial crops","urban area","0"
"other perennial crops","other vegetated areas","1"
"other perennial crops","rocky outcrop","0"
"other perennial crops","mining","0"
"other perennial crops","aquaculture","0"
"other perennial crops","river lake and ocean","0"
"other perennial crops","soy bean","0"
"other perennial crops","rice","0"
"other perennial crops","other temporary crops","3"
"other perennial crops","coffee","0"
"other perennial crops","citrus","0"
"other perennial crops","other perennial crops","141"
"other perennial crops","wooded sandbank vegetation","0"
"wooded sandbank vegetation","forest formation","4"
"wooded sandbank vegetation","savanna formation","1"
"wooded sandbank vegetation","mangrove","1"
"wooded sandbank vegetation","forest plantation","3"
"wooded sandbank vegetation","wetland","0"
"wooded sandbank vegetation","grassland","0"
"wooded sandbank vegetation","other non forest formations","0"
"wooded sandbank vegetation","pasture","0"
"wooded sandbank vegetation","sugar cane","0"
"wooded sandbank vegetation","mosaic agriculture and pasture","0"
"wooded sandbank vegetation","beach dune and sand","0"
"wooded sandbank vegetation","urban area","0"
"wooded sandbank vegetation","other vegetated areas","0"
"wooded sandbank vegetation","rocky outcrop","0"
"wooded sandbank vegetation","mining","0"
"wooded sandbank vegetation","aquaculture","0"
"wooded sandbank vegetation","river lake and ocean","0"
"wooded sandbank vegetation","soy bean","0"
"wooded sandbank vegetation","rice","0"
"wooded sandbank vegetation","other temporary crops","0"
"wooded sandbank vegetation","coffee","0"
"wooded sandbank vegetation","citrus","0"
"wooded sandbank vegetation","other perennial crops","0"
"wooded sandbank vegetation","wooded sandbank vegetation","141"